id;name;description;muscle_name;move_type;place;equipment;picture;picture_content_type
1;Tugrik;../fake-data/blob/hipster.txt;Chicken;MULTIMUSCLE;HOME;programming Rustic open-source;../fake-data/blob/hipster.png;image/png
2;Identity Ergonomic;../fake-data/blob/hipster.txt;Bedfordshire B2B Streamlined;SHOULDER;GYM;New Zealand Dollar Corporate;../fake-data/blob/hipster.png;image/png
3;engage Integration;../fake-data/blob/hipster.txt;Analyst National;BACK;GYM;user-facing Intelligent Fresh Sausages auxiliary;../fake-data/blob/hipster.png;image/png
4;SSL Borders JSON;../fake-data/blob/hipster.txt;SSL;HAMSTRING;HOME;driver Division;../fake-data/blob/hipster.png;image/png
5;input Licensed;../fake-data/blob/hipster.txt;Hill California;SHOULDER;HOME;Fresh Metal Web;../fake-data/blob/hipster.png;image/png
6;Orchestrator e-tailers;../fake-data/blob/hipster.txt;sensor tangible;TRX;GYM;implementation interfaces core;../fake-data/blob/hipster.png;image/png
7;Park;../fake-data/blob/hipster.txt;Gloves Practical;BACK;HOME;withdrawal;../fake-data/blob/hipster.png;image/png
8;Bangladesh;../fake-data/blob/hipster.txt;bricks-and-clicks Communications;MULTIMUSCLE;GYM;extensible indexing Ergonomic Steel Computer;../fake-data/blob/hipster.png;image/png
9;navigate Ergonomic productivity;../fake-data/blob/hipster.txt;Handcrafted Soft Mouse fuchsia;FOREARM;GYM;mobile Manager Investment Account;../fake-data/blob/hipster.png;image/png
10;innovative functionalities Electronics;../fake-data/blob/hipster.txt;yellow Identity bypass;HAMSTRING;HOME;bypassing coherent Pants;../fake-data/blob/hipster.png;image/png
